id,batch,date,solute_identifier,secondary_solute_identifier,secondary_solute_ratio,solvent,membrane,permeance,pressure,temperature,process_configuration,rejection,exclude
151,OC1,1/6/2025,1416881-52-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.330783544,0
152,OC1,1/6/2025,632-69-9,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.831345262,0
153,OC1,1/6/2025,1442433-71-7,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.509090909,0
154,OC1,1/6/2025,18531-99-2,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.775698603,0
155,OC1,1/6/2025,140924-50-1,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.760191847,0
156,OC1,1/6/2025,1416881-52-1,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.460409345,0
157,OC3,1/7/2025,2321-07-5,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.297662695,0
158,OC3,1/7/2025,14187-32-7,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.102888673,0
159,OC3,1/7/2025,17455-13-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.005214542,0
160,OC3,1/7/2025,2321-07-5,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.616865261,0
161,OC3,1/7/2025,14187-32-7,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.769230769,0
162,OC3,1/7/2025,17455-13-9,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.416939632,0
163,OC3,1/7/2025,2321-07-5,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.306370302,0
164,OC3,1/7/2025,14187-32-7,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.067510549,0
165,OC3,1/7/2025,17455-13-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.019747568,0
166,OC3,1/7/2025,2321-07-5,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.531049496,0
167,OC3,1/7/2025,14187-32-7,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.514767932,0
168,OC3,1/7/2025,17455-13-9,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.170486266,0
169,OC3,1/7/2025,2321-07-5,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.420600367,0
170,OC3,1/7/2025,14187-32-7,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.084388186,0
171,OC3,1/7/2025,17455-13-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.031086472,0
172,OC3,1/7/2025,2321-07-5,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.629353804,0
173,OC3,1/7/2025,14187-32-7,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.423239208,0
174,OC3,1/7/2025,17455-13-9,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.15474856,0
175,Delta,1/9/2025,60804-75-3,None,0.5,Acetonitrile,NFX,0.36,20,21,CF,0.989,0
176,Delta,1/9/2025,94928-86-6,None,0.5,Acetonitrile,NFX,0.36,20,21,CF,0.968,0
177,Delta,1/9/2025,1352428-78-4,None,0.5,Acetonitrile,NFX,0.36,20,21,CF,0.971,0
178,Delta,1/9/2025,2042201-18-1,None,0.5,Acetonitrile,NFX,0.36,20,21,CF,0.962,0
179,Delta,1/9/2025,60804-75-3,None,0.5,Acetonitrile,TS40,1.46,20,21,CF,0.946162524,1
180,Delta,1/9/2025,94928-86-6,None,0.5,Acetonitrile,TS40,1.46,20,21,CF,0.90430727,1
181,Delta,1/9/2025,1352428-78-4,None,0.5,Acetonitrile,TS40,1.46,20,21,CF,0.903888089,1
182,Delta,1/9/2025,2042201-18-1,None,0.5,Acetonitrile,TS40,1.46,20,21,CF,0.902599179,1
183,Delta,1/8/2025,60804-75-3,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.996852196,0
184,Delta,1/8/2025,94928-86-6,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.19804878,0
